datetime,Direction,Price,ReserveType
2024-01-02 07:45:00+01:00,Down,-16.34,aFRR
2024-01-02 08:00:00+01:00,Down,-29.04,aFRR
2024-01-02 08:00:00+01:00,Up,0.0,aFRR
2024-01-02 08:15:00+01:00,Up,0.0,aFRR
2024-01-02 08:15:00+01:00,Down,-6.24,aFRR
2024-01-02 08:30:00+01:00,Up,0.0,aFRR
2024-01-02 08:30:00+01:00,Down,-6.24,aFRR
2024-01-02 08:45:00+01:00,Up,0.0,aFRR
2024-01-02 08:45:00+01:00,Down,43.0,aFRR
2024-01-02 09:00:00+01:00,Up,0.0,aFRR
2024-01-02 09:00:00+01:00,Down,64.52,aFRR
2024-01-02 09:15:00+01:00,Down,54.52,aFRR
2024-01-02 09:15:00+01:00,Up,0.0,aFRR
2024-01-02 09:30:00+01:00,Up,0.0,aFRR
2024-01-02 09:30:00+01:00,Down,-10.84,aFRR
2024-01-02 09:45:00+01:00,Down,-38.0,aFRR
2024-01-02 09:45:00+01:00,Up,0.0,aFRR
2024-01-02 10:00:00+01:00,Down,-29.77,aFRR
2024-01-02 10:00:00+01:00,Up,0.0,aFRR
2024-01-02 10:15:00+01:00,Up,0.0,aFRR
2024-01-02 10:15:00+01:00,Down,15.6,aFRR
2024-01-02 10:30:00+01:00,Up,0.0,aFRR
2024-01-02 10:30:00+01:00,Down,51.52,aFRR
2024-01-02 10:45:00+01:00,Up,0.0,aFRR
2024-01-02 10:45:00+01:00,Down,52.0,aFRR
2024-01-02 11:00:00+01:00,Up,0.0,aFRR
2024-01-02 11:00:00+01:00,Down,67.0,aFRR
2024-01-02 11:15:00+01:00,Up,77.54,aFRR
2024-01-02 11:15:00+01:00,Down,0.0,aFRR
2024-01-02 11:30:00+01:00,Down,0.0,aFRR
2024-01-02 11:30:00+01:00,Up,82.51,aFRR
2024-01-02 11:45:00+01:00,Up,0.0,aFRR
2024-01-02 11:45:00+01:00,Down,0.0,aFRR
2024-01-02 12:00:00+01:00,Down,0.0,aFRR
2024-01-02 12:00:00+01:00,Up,0.0,aFRR
